DisplayName,NormalizedName,alpha
International Journal of Social and Economic Research,international journal of social and economic research,0.02358490566037736
International Journal of Infection,international journal of infection,-0.006702092601746588
Iranian journal of emergency medicine,iranian journal of emergency medicine,0.06623978803267833
Technical report of IEICE. OME,technical report of ieice ome,0.021894943544428076
Conservation Science in Cultural Heritage,conservation science in cultural heritage,-0.1319677871148459
Transactions of Japan Society of Spring Engineers,transactions of japan society of spring engineers,-0.26446280991735543
Chinese Journal of Medicinal Chemistry,chinese journal of medicinal chemistry,0.0840108401084011
SAARC Journal of Agriculture,saarc journal of agriculture,-0.012248028045574056
Journal of Nanostructures,journal of nanostructures,0.046261355695317974
Environmental Technology and Innovation,environmental technology and innovation,-0.07782931354359926
Applied Chemistry,applied chemistry,0.07566862361382912
Banach Center Publications,banach center publications,0.888888888888889
Pediatric Dental Journal,pediatric dental journal,-0.043021604246094046
Arterial’naya Gipertenziya,arterial naya gipertenziya,0.023966061245396648
International journal of hematology-oncology and stem cell research,international journal of hematology oncology and stem cell research,-0.024812756357542178
Journal of Communication and Computer,journal of communication and computer,0.027698728893948008
Revista Colombiana de Reumatología,revista colombiana de reumatologia,0.11776507075014539
German Economic Review,german economic review,0.3498349834983498
Expert Opinion on Drug Safety,expert opinion on drug safety,0.043767400316535594
Medicinal Research Reviews,medicinal research reviews,0.017527124151269387
Food and Agricultural Immunology,food and agricultural immunology,0.005583919663626011
Performance Improvement Quarterly,performance improvement quarterly,0.11444444444444445
Journal of Anatomy,journal of anatomy,0.03553565839324282
Current Topics in Developmental Biology,current topics in developmental biology,0.0008367693427116298
Sociologie,sociologie,0.03424036281179138
Bulletin of the American Schools of Oriental Research,bulletin of the american schools of oriental research,-0.05592903828197945
Nihon Gekakei Rengo Gakkaishi (journal of Japanese College of Surgeons),nihon gekakei rengo gakkaishi (journal of japanese college of surgeons),-0.005920526786832485
PLOS Neglected Tropical Diseases,plos neglected tropical diseases,0.029213178715302608
Annali Italiani Di Chirurgia,annali italiani di chirurgia,0.024380153396060426
Revue De Geographie Alpine-journal of Alpine Research,revue de geographie alpine journal of alpine research,0.15967197922391402
Journal of Radioanalytical and Nuclear Chemistry,journal of radioanalytical and nuclear chemistry,0.0749298349858505
Journal of Fire Protection Engineering,journal of fire protection engineering,-0.004347826086956514
Revista Direito Gv,revista direito gv,-0.2006980802792321
Journal of Social Psychology,journal of social psychology,-0.06820943762120231
Journal for Research in Mathematics Education,journal for research in mathematics education,0.17199719729431107
Psychologist,psychologist,-0.0176
Publications De L'institut Mathematique,publications de l institut mathematique,0.7083333333333333
International Journal of Legal Medicine,international journal of legal medicine,0.03680438684680466
Journal of Children and Poverty,journal of children and poverty,-0.0020325203252032557
Journal of Sulfur Chemistry,journal of sulfur chemistry,0.04469948655995168
Journal of Contemporary Religion,journal of contemporary religion,0.15112781954887217
Oral Oncology,oral oncology,-0.012952183644783814
Physics Letters A,physics letters a,0.07702187548977123
Cirugia Y Cirujanos,cirugia y cirujanos,0.000431517137785056
The Review of Laser Engineering,the review of laser engineering,-0.04351976639712488
Journal of Shanghai Jiaotong University (science),journal of shanghai jiaotong university (science),-0.037138247554914225
Jornal Brasileiro De Nefrologia,jornal brasileiro de nefrologia,-0.02885488815759262
Blumea,blumea,0.1776277965254343
Croatian Journal of Forest Engineering,croatian journal of forest engineering,0.015481832543443937
Gamm-mitteilungen,gamm mitteilungen,0.17685769125308473
Space Policy,space policy,0.1656299156299156
Neues Jahrbuch Fur Mineralogie-abhandlungen,neues jahrbuch fur mineralogie abhandlungen,-0.008789968146445707
RNA Biology,rna biology,-0.0072594211044858335
International Journal of General Systems,international journal of general systems,-3.1607772943064953e-18
Chemical Engineering & Technology,chemical engineering & technology,0.006216098433921505
Neuro-Ophthalmology,neuro ophthalmology,0.011328062787612411
Journal of Transcultural Nursing,journal of transcultural nursing,0.07913950207785275
Cerevisia,cerevisia,-0.003827352814782972
Journal of Engineering Mechanics-asce,journal of engineering mechanics asce,-0.04968052021487136
International Journal of Vehicular Technology,international journal of vehicular technology,-0.11764705882352947
Journal of Chemical Research-s,journal of chemical research s,-0.023074031337034277
Fuzzy Sets and Systems,fuzzy sets and systems,0.35898164998483467
Convergencia-revista De Ciencias Sociales,convergencia revista de ciencias sociales,-4.4408920985006264e-17
Gastroenterology Clinics of North America,gastroenterology clinics of north america,0.0704070407040704
Ophthalmic Research,ophthalmic research,0.012410484925720746
Angle Orthodontist,angle orthodontist,0.01526364514733646
Asia Pacific Education Review,asia pacific education review,-0.0006822612085770112
Journal of The Japan Epilepsy Society,journal of the japan epilepsy society,0.06518619744155231
Energy for Sustainable Development,energy for sustainable development,-0.05759715171255102
Communication Methods and Measures,communication methods and measures,-0.025988700564971736
Hyperfine Interactions,hyperfine interactions,0.48388053461306413
International Journal of Theoretical Physics,international journal of theoretical physics,0.051212331450742055
Organizational Dynamics,organizational dynamics,0.00602150537634409
Drying Technology,drying technology,-0.017596007140695168
"Cancer Immunology, Immunotherapy",cancer immunology immunotherapy,0.005822208472350014
Discrete Optimization,discrete optimization,0.7001302083333333
Early Modern Women-an Interdisciplinary Journal,early modern women an interdisciplinary journal,0.20049751243781092
arXiv: Human-Computer Interaction,arxiv human computer interaction,0.07077033837293015
Management Science Letters,management science letters,0.0633587786259542
Moravian Geographical Reports,moravian geographical reports,-0.003939393939393958
Revista Internacional de Organizaciones,revista internacional de organizaciones,-0.07200000000000001
The Journal of the New York State Nurses' Association,the journal of the new york state nurses association,0.17640117994100296
Annali di stomatologia,annali di stomatologia,0.023164514568526022
Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship,journal of christian nursing a quarterly publication of nurses christian fellowship,-0.21535580524344572
Journal of Agricultural Science and Environment,journal of agricultural science and environment,-0.0751637777348197
WIT Transactions on Information and Communication Technologies,wit transactions on information and communication technologies,0.05707762557077627
Indian Journal of Youth and Adolescent Health,indian journal of youth and adolescent health,0.12616487455197134
"ELECTRONICS - CONSTRUCTIONS, TECHNOLOGIES, APPLICATIONS",electronics constructions technologies applications,0.16392482714757597
Asian Journal of Education,asian journal of education,0.1906232288195153
International journal of multicriteria decision making,international journal of multicriteria decision making,0.1891005291005291
Austrian Journal of Technical and Natural Sciences,austrian journal of technical and natural sciences,0.0008861089392754697
The Journal of Clinical and Scientific Research,the journal of clinical and scientific research,-0.029992652798824453
"Qualitative Research in Sport, Exercise and Health",qualitative research in sport exercise and health,0.0001972386587770999
Reports of the National Academy of Sciences of Ukraine,reports of the national academy of sciences of ukraine,0.022050729839674557
Open Journal of Physical Chemistry,open journal of physical chemistry,0.27707732454333195
Advances in Animal Biosciences,advances in animal biosciences,0.08441698012192873
Biomedical fuzzy and human sciences : the official journal of the Biomedical Fuzzy Systems Association,biomedical fuzzy and human sciences the official journal of the biomedical fuzzy systems association,-0.14295900178253118
Journal of KONES. Powertrain and Transport,journal of kones powertrain and transport,0.3262206503585814
International Journal of Advanced Research in Computer Science and Electronics Engineering,international journal of advanced research in computer science and electronics engineering,-0.010106899902818274
croatian journal of infection,croatian journal of infection,-0.038764554137907005
International Journal of Dental Sciences and Research,international journal of dental sciences and research,0.04323853111038466
Reclaiming Children and Youth,reclaiming children and youth,-0.10870147255689427
Gateways: International Journal of Community Research and Engagement,gateways international journal of community research and engagement,-0.2567917489576475
Iranian Journal of Health and Environment,iranian journal of health and environment,-0.05248038574697614
Journal of the Phonetic Society of Japan,journal of the phonetic society of japan,0.1509043927648579
Fundamental Toxicological Sciences,fundamental toxicological sciences,-0.11364760976127461
THE JOURNAL OF THE ACADEMY OF CLINICAL DENTISTRY,the journal of the academy of clinical dentistry,0.038893424036281155
Far East Journal of Mathematical Sciences,far east journal of mathematical sciences,0.19507959479015916
Frontiers of entrepreneurship research,frontiers of entrepreneurship research,0.080996632996633
Journal of Sustainable Agriculture and the Environment,journal of sustainable agriculture and the environment,0.05685425685425686
American Journal of Civil Engineering and Architecture,american journal of civil engineering and architecture,0.07566666666666669
Current health sciences journal,current health sciences journal,-0.05029928638121917
IET electrical systems in transportation,iet electrical systems in transportation,-0.15187637969094922
Journal of Research in National Development,journal of research in national development,-0.1897810218978102
International Journal of Data Mining & Knowledge Management Process,international journal of data mining & knowledge management process,0.20430107526881724
Cell & developmental biology,cell & developmental biology,0.0031185147792921783
The Kips Transactions:partb,the kips transactions partb,-0.017886178861788657
Gerokomos,gerokomos,0.1045804369333781
Child and Adolescent Mental Health,child and adolescent mental health,-0.01581137031780808
Nonlinear Biomedical Physics,nonlinear biomedical physics,0.010619469026548683
Aids Patient Care and Stds,aids patient care and stds,0.03219243071084866
Journal of Low Power Electronics,journal of low power electronics,0.1409975856577798
Monographs of The Society for Research in Child Development,monographs of the society for research in child development,0.11718750900998243
Journal of Marine Science and Technology,journal of marine science and technology,-0.009481983830806498
Disease Markers,disease markers,0.025446086766205644
Medecine Et Chirurgie Du Pied,medecine et chirurgie du pied,0.029740748099579807
International Angiology,international angiology,0.3124001530097624
Sport Education and Society,sport education and society,0.32191958495460443
Alberta Journal of Educational Research,alberta journal of educational research,0.2539541759053955
ACM Sigarch Computer Architecture News,acm sigarch computer architecture news,0.2608547008547008
Journal of Electroceramics,journal of electroceramics,0.049199101253895774
Nonlinear Analysis-theory Methods & Applications,nonlinear analysis theory methods & applications,0.4962192816635161
Opto-electronics Review,opto electronics review,-0.033210219787208915
Microscopy Today,microscopy today,0.09296038009864377
Archives of Ophthalmology,archives of ophthalmology,0.024243753665464992
Journal of The World Aquaculture Society,journal of the world aquaculture society,0.026480807035943552
Research Journal of Parasitology,research journal of parasitology,0.009657009657009672
Transboundary and Emerging Diseases,transboundary and emerging diseases,0.022659390334373926
Acta Geologica Polonica,acta geologica polonica,0.10679513722991986
Neurosurgical Review,neurosurgical review,0.030405487899567058
Journal of The American College of Nutrition,journal of the american college of nutrition,0.05584910746851152
Behavioral Disorders,behavioral disorders,0.02861857614332862
European Review for Medical and Pharmacological Sciences,european review for medical and pharmacological sciences,-0.0038293769330203275
Journal of Laryngology and Otology,journal of laryngology and otology,-0.006217632514745262
Power and Education,power and education,-0.1479674796747968
"P-adic Numbers, Ultrametric Analysis, and Applications",p adic numbers ultrametric analysis and applications,0.6666666666666666
Deviant Behavior,deviant behavior,0.10861423220973782
Memory & Cognition,memory & cognition,0.022506738544474367
Reviews in Mathematical Physics,reviews in mathematical physics,0.8350515463917526
International Journal of Numerical Analysis and Modeling,international journal of numerical analysis and modeling,0.5235062177737336
Acta Crystallographica,acta crystallographica,-0.04894795127353267
Acta Metallurgica Sinica (english Letters),acta metallurgica sinica (english letters),0.0008775493808031802
Cellulose,cellulose,0.004725496793355572
Journal of Applied Spectroscopy,journal of applied spectroscopy,0.09982225123136348
Sigact News,sigact news,0.7440476190476191
Carpathian Journal of Earth and Environmental Sciences,carpathian journal of earth and environmental sciences,0.01427773789582833
Brazilian Journal of Infectious Diseases,brazilian journal of infectious diseases,0.0023699473735001204
Journal of Toxicological Sciences,journal of toxicological sciences,0.009888653251430863
Chemical Engineering Journal,chemical engineering journal,-0.013375940037452466
CytoJournal,cytojournal,0.11857884706393973
Journal of Marketing Education,journal of marketing education,0.3725490196078431
Academic Psychiatry,academic psychiatry,0.15407917021230982
Advances in Pediatrics,advances in pediatrics,0.15650710545998506
New Ideas in Psychology,new ideas in psychology,0.019047619047619053
International Journal of Nanoparticles,international journal of nanoparticles,0.03273440465645956
European Journal of Medical Genetics,european journal of medical genetics,0.060345608659795144
Journal of Psychiatric Research,journal of psychiatric research,-0.00978536280509001
Anesthesia Progress,anesthesia progress,0.049939272102860484
High Performance Polymers,high performance polymers,-0.026923383878691143
Journal of Theoretical and Computational Chemistry,journal of theoretical and computational chemistry,-0.047256938784135435
Polymer Reviews,polymer reviews,0.039070372176174234
Actas Espanolas De Psiquiatria,actas espanolas de psiquiatria,-0.02931167454065039
Environmental Impact Assessment Review,environmental impact assessment review,0.16254663901657565
"Construction Innovation: Information, Process, Management",construction innovation information process management,0.02459349593495934
Hepatitis Research and Treatment,hepatitis research and treatment,-0.029845238748496407
Biometrika,biometrika,0.1580668088130775
Neuropsychopharmacology,neuropsychopharmacology,0.028624006117648666
Journal of Nursing and Healthcare of Chronic Illness,journal of nursing and healthcare of chronic illness,0.09296690307328605
International Journal of Stomatology & Occlusion Medicine,international journal of stomatology & occlusion medicine,-0.017787114845938378
Current Opinion in Nephrology and Hypertension,current opinion in nephrology and hypertension,0.043501326259946946
Addictive Behaviors,addictive behaviors,0.00493285822913537
Interdisciplinary Sciences: Computational Life Sciences,interdisciplinary sciences computational life sciences,-0.08424510564536983
International Journal of Network Security,international journal of network security,0.06599777034559647
Journal of The American Association for Laboratory Animal Science,journal of the american association for laboratory animal science,0.020717094028991134
Aktuelle Urologie,aktuelle urologie,0.0814392227301133
The National Medical Journal of India,the national medical journal of india,0.019819328075710473
International Journal of Electronic Business,international journal of electronic business,0.16989247311827954
Reactive & Functional Polymers,reactive & functional polymers,0.012306396877162543
Australian Prescriber,australian prescriber,0.027402862985685072
Military Medicine,military medicine,0.024514622802654585
Anasthesiologie & Intensivmedizin,anasthesiologie & intensivmedizin,0.12585298436555237
Klinik Psikofarmakoloji Bulteni-bulletin of Clinical Psychopharmacology,klinik psikofarmakoloji bulteni bulletin of clinical psychopharmacology,-0.0043397749132155486
Rural and Remote Health,rural and remote health,-0.005913966088080996
CardioRenal Medicine,cardiorenal medicine,0.05662309348749268
Revista Internacional de Andrologia,revista internacional de andrologia,0.0396461569702508
Nucleic Acid Therapeutics,nucleic acid therapeutics,0.025908638218108918
Biomaterials Science,biomaterials science,0.016339492672948982
Journal of Water Sanitation and Hygiene for Development,journal of water sanitation and hygiene for development,-0.00851707359838689
Acervo,acervo,0.06666666666666668
Revista de Educação e Pesquisa em Contabilidade,revista de educacao e pesquisa em contabilidade,0.08947368421052637
Open Praxis,open praxis,0.3288084464555053
Gels,gels,-0.12289055973266498
Saúde e Meio Ambiente: Revista Interdisciplinar,saude e meio ambiente revista interdisciplinar,-0.08887174440879687
Folia Horticulturae,folia horticulturae,0.0
Cuadernos de Neuropsicologia,cuadernos de neuropsicologia,-0.12170553024211561
Journal of Veterinary Research,journal of veterinary research,-0.029642423271523353
Apertura,apertura,0.27914555389965223
Bengal Journal of Otolaryngology and Head Neck Surgery,bengal journal of otolaryngology and head neck surgery,-0.059904912836767056
Escritos de Psicología,escritos de psicologia,-0.0853658536585366
Turkish journal of trauma & emergency surgery,turkish journal of trauma & emergency surgery,0.006332242856929824
Radiology of Infectious Diseases,radiology of infectious diseases,-0.024123299867980723
International Journal of Advanced Research in Computer and Communication Engineering,international journal of advanced research in computer and communication engineering,0.04089958158995814
Ukrainian Scientific Journal of Information Security,ukrainian scientific journal of information security,0.32528735632183914
Open Journal of Soil Science,open journal of soil science,0.011961057023643947
Journal of Knowledge Information Technology and Systems,journal of knowledge information technology and systems,-0.06721536351165981
Journal of Environmental Research and Development,journal of environmental research and development,0.03143219264892267
Physics and High Technology,physics and high technology,-0.06196156394963551
Environmental biotechnology,environmental biotechnology,-0.006798707683663443
Progress in neurological surgery,progress in neurological surgery,-0.10738697004791425
Global Journal of Technology and Optimization,global journal of technology and optimization,0.010336630626485712
Advances in Infectious Diseases,advances in infectious diseases,-0.02685784535099603
Speech prosody,speech prosody,0.04501845018450183
Planning and changing,planning and changing,0.07777777777777774
Education Next,education next,0.31891891891891905
Asian Journal of Computer Science and Information Technology,asian journal of computer science and information technology,0.011111111111111127
Journal of the Korea Entertainment Industry Association,journal of the korea entertainment industry association,0.21205501618122977
Gulf and Caribbean Research,gulf and caribbean research,0.1351648351648352
Journal of Applied Water Engineering and Research,journal of applied water engineering and research,0.031189083820662777
Journal of the ASFMRA,journal of the asfmra,0.2722466960352423
SA Orthopaedic Journal,sa orthopaedic journal,0.10735610957217605
Computational particle mechanics,computational particle mechanics,-0.08750384024577575
The annual research report,the annual research report,0.15942028985507248
The Online Journal of Clinical Audits,the online journal of clinical audits,0.06821266968325793
Biosurface and Biotribology,biosurface and biotribology,-0.2293441150044924
Procedia Manufacturing,procedia manufacturing,0.039079271824586044
Geologica Acta,geologica acta,0.06717586075087871
Research in International Business and Finance,research in international business and finance,0.29476584022038566
Chilean Journal of Agricultural Research,chilean journal of agricultural research,0.02466822207169915
Clinical Child and Family Psychology Review,clinical child and family psychology review,0.03556979520040206
International Journal of Strategic Information Technology and Applications,international journal of strategic information technology and applications,-0.20479302832244015
The Journal for Nurse Practitioners,the journal for nurse practitioners,0.08837322682567807
Time & Society,time & society,0.35749128919860623
The Review of High Pressure Science and Technology,the review of high pressure science and technology,0.10520945686267219
Erdkunde,erdkunde,-0.02896995708154507
Industry and Innovation,industry and innovation,0.625
Journal of International Business Studies,journal of international business studies,0.2955311997908347
Contributions To Nephrology,contributions to nephrology,0.06304549252978807
South African Journal of Wildlife Research,south african journal of wildlife research,0.05433186490455214
Journal of Internet and Enterprise Management,journal of internet and enterprise management,0.3157894736842105
Modern Physics Letters A,modern physics letters a,0.4836893170786656
Forestry Chronicle,forestry chronicle,0.009466239242816754
International Journal of Fluid Machinery and Systems,international journal of fluid machinery and systems,-0.01545171339563864
Language and Cognitive Processes,language and cognitive processes,0.2340858787073926
Leadership and Management in Engineering,leadership and management in engineering,-0.21969696969696972
American Journal of Physiology-cell Physiology,american journal of physiology cell physiology,-0.03398867966743204
Anales Del Instituto De La Patagonia,anales del instituto de la patagonia,0.10286903663757423
Journal of Applied Mathematics and Mechanics,journal of applied mathematics and mechanics,0.5112226920366456
Journal of Advanced Transportation,journal of advanced transportation,-0.054791299235743676
Annals of The Entomological Society of America,annals of the entomological society of america,0.06151774151774152
Iet Communications,iet communications,-0.006618236622578775
Georgian Mathematical Journal,georgian mathematical journal,0.958974358974359
Indian Journal of Animal Research,indian journal of animal research,0.021801820418876725
Journal of Mechanical Design,journal of mechanical design,0.15251564014450614
Clinical Nurse Specialist,clinical nurse specialist,0.22500973602668517
Food Chemistry,food chemistry,0.0059996238510978935
The European Journal of Development Research,the european journal of development research,-0.09204204204204211
Applied Physics Letters,applied physics letters,0.00885143175777155
Arab Journal of Gastroenterology,arab journal of gastroenterology,0.03086238958623895
Ethnicity & Health,ethnicity & health,0.0823920265780731
Journal of the ACM,journal of the acm,0.7537922987164527
Educational Studies in Mathematics,educational studies in mathematics,-0.10061624649859945
Transformation Groups,transformation groups,0.7796143250688705
Journal of Health and Social Behavior,journal of health and social behavior,-0.08597929606625258
Canadian Journal of Cardiology,canadian journal of cardiology,0.05333683909894825
Journal of The Japanese Society for Horticultural Science,journal of the japanese society for horticultural science,0.03797405863841567
Indian Journal of Horticulture,indian journal of horticulture,-0.007621618147933938
Journal of Nonlinear Science,journal of nonlinear science,0.5776397515527949
PRIMUS,primus,0.2228426395939086
Current Topics in Nutraceutical Research,current topics in nutraceutical research,-0.2523191094619666
Perspectives on Augmentative and Alternative Communication,perspectives on augmentative and alternative communication,0.05917159763313609
Radiation and Environmental Biophysics,radiation and environmental biophysics,0.10062043024593181
EPL,epl,0.07511964871301584
Biological & Pharmaceutical Bulletin,biological & pharmaceutical bulletin,-0.010046170480278328
Internet and Higher Education,internet and higher education,0.10300027525461047
Journal of Microscopy,journal of microscopy,0.049484351179266445
Mathematical Programming Computation,mathematical programming computation,0.8275177304964538
Netherlands Journal of Medicine,netherlands journal of medicine,0.08224711887656493
Journal of The Ergonomics Society of Korea,journal of the ergonomics society of korea,-0.01690199335548172
Molecular Vision,molecular vision,0.016071534057458713
International Journal of Sustainable Engineering,international journal of sustainable engineering,-0.06757792420206551
Revista Estudos Feministas,revista estudos feministas,0.015286624203821647
Journal of Iberian Geology,journal of iberian geology,0.19892167254804616
"Photodermatology, Photoimmunology and Photomedicine",photodermatology photoimmunology and photomedicine,0.04228287298855285
International Journal of Knowledge and Systems Science,international journal of knowledge and systems science,-0.17664296487825903
Electronic Notes in Discrete Mathematics,electronic notes in discrete mathematics,0.6901499423298731
arXiv: Sound,arxiv sound,0.12157206089790358
"arXiv: Data Analysis, Statistics and Probability",arxiv data analysis statistics and probability,0.18714481677444636
Herba Polonica,herba polonica,0.1331187233199945
"Research in Agriculture, Livestock and Fisheries",research in agriculture livestock and fisheries,0.11615628299894404
Ingeniería y Ciencia,ingenieria y ciencia,-0.1576940957694096
"Góndola, Enseñanza y Aprendizaje de las Ciencias",gondola ensenanza y aprendizaje de las ciencias,-0.2780487804878049
The Nigerian postgraduate medical journal,the nigerian postgraduate medical journal,-0.018992416177069784
The New Zealand dental journal,the new zealand dental journal,0.042118955294310756
Pharmaceutical medicine,pharmaceutical medicine,-0.048056775937816834
International Journal of Research in Advanced Engineering and Technology,international journal of research in advanced engineering and technology,-0.08219178082191786
The Dairy Mail,the dairy mail,-0.16666666666666669
Odovtos - International Journal of Dental Sciences,odovtos international journal of dental sciences,0.024390243902439004
Transactions of the Japan Society of Mechanical Engineers. B,transactions of the japan society of mechanical engineers b,-0.03320848938826467
The Scientific Journal of Rehabilitation Medicine,the scientific journal of rehabilitation medicine,-0.058565244279530006
International journal of childbirth,international journal of childbirth,-0.08641083666361726
Geology and Exploration,geology and exploration,0.05645251464547023
International Journal of Epilepsy,international journal of epilepsy,-0.0034408602150537435
Agriculture and Forestry,agriculture and forestry,0.07666764832669645
Learning Disabilities: A Contemporary Journal,learning disabilities a contemporary journal,-0.2512486427795874
"IEICE technical report. WBS, Wideband System",ieice technical report wbs wideband system,-0.04316546762589928
Journal of Information Technology in Construction,journal of information technology in construction,-0.06763477945180614
JSIAM Letters,jsiam letters,0.1976393976393976
Computing in Cardiology,computing in cardiology,0.030346095764258924
International journal of stem cells,international journal of stem cells,0.10517199017199015
Interamerican Journal of Psychology,interamerican journal of psychology,0.037056522325644145
Rangelands Archives,rangelands archives,-0.0136986301369863
journal of orthodontic science,journal of orthodontic science,0.0081390032007316
Iraqi postgraduate Medical Journal,iraqi postgraduate medical journal,0.08602150537634409
Journal of Sustainable Mining,journal of sustainable mining,0.07687687687687689
Journal of pollination ecology,journal of pollination ecology,0.003365995630298601
Surgical and Cosmetic Dermatology,surgical and cosmetic dermatology,0.09482998127680135
International journal of business and social research,international journal of business and social research,-0.10946626384692852
Iranian Journal of Pharmacology and Therapeutics,iranian journal of pharmacology and therapeutics,0.04922305764411029
The International Journal of Teaching and Learning in Higher Education,the international journal of teaching and learning in higher education,0.15295429208472686
